itemId,itemName,category,abcClass,date,openingStock,received,consumption,closingStock,msl
ITEM-0001,Product 1,Raw Materials,A,2025-03-31,230,19,23,226,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-01,136,7,28,115,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-02,126,14,28,112,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-03,189,12,11,190,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-04,251,18,26,243,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-05,285,25,35,275,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-06,164,4,26,142,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-07,269,29,10,288,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-08,195,5,39,161,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-09,255,22,7,270,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-10,168,13,25,156,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-11,228,25,11,242,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-12,262,29,39,252,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-13,232,27,39,220,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-14,292,11,11,292,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-15,221,3,47,177,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-16,254,7,36,225,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-17,248,16,41,223,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-18,213,25,30,208,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-19,258,13,28,243,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-20,161,21,40,142,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-21,132,0,22,110,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-22,167,20,36,151,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-23,211,3,45,169,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-24,178,21,0,199,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-25,176,14,39,151,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-26,270,8,46,232,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-27,174,9,8,175,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-28,301,8,25,284,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-29,156,25,24,157,152
ITEM-0001,Product 1,Raw Materials,A,2025-04-30,196,1,37,160,152
ITEM-0002,Product 2,Maintenance,C,2025-02-01,319,26,17,328,215
ITEM-0002,Product 2,Maintenance,C,2025-02-02,346,16,26,336,215
ITEM-0002,Product 2,Maintenance,C,2025-02-03,312,26,42,296,215
ITEM-0002,Product 2,Maintenance,C,2025-02-04,292,24,23,293,215
ITEM-0002,Product 2,Maintenance,C,2025-02-05,364,20,5,379,215
ITEM-0002,Product 2,Maintenance,C,2025-02-06,272,16,32,256,215
ITEM-0002,Product 2,Maintenance,C,2025-02-07,213,21,42,192,215
ITEM-0002,Product 2,Maintenance,C,2025-02-08,338,17,27,328,215
ITEM-0002,Product 2,Maintenance,C,2025-02-09,233,16,6,243,215
ITEM-0002,Product 2,Maintenance,C,2025-02-10,268,16,40,244,215
ITEM-0002,Product 2,Maintenance,C,2025-02-11,332,27,21,338,215
ITEM-0002,Product 2,Maintenance,C,2025-02-12,247,16,39,224,215
ITEM-0002,Product 2,Maintenance,C,2025-02-13,255,12,0,267,215
ITEM-0002,Product 2,Maintenance,C,2025-02-14,363,29,18,374,215
ITEM-0002,Product 2,Maintenance,C,2025-02-15,216,28,29,215,215
ITEM-0002,Product 2,Maintenance,C,2025-02-16,233,28,44,217,215
ITEM-0002,Product 2,Maintenance,C,2025-02-17,214,7,15,206,215
ITEM-0002,Product 2,Maintenance,C,2025-02-18,203,0,17,186,215
ITEM-0002,Product 2,Maintenance,C,2025-02-19,262,17,46,233,215
ITEM-0002,Product 2,Maintenance,C,2025-02-20,297,29,49,277,215
ITEM-0002,Product 2,Maintenance,C,2025-02-21,350,0,3,347,215
ITEM-0002,Product 2,Maintenance,C,2025-02-22,192,22,28,186,215
ITEM-0002,Product 2,Maintenance,C,2025-02-23,287,9,2,294,215
ITEM-0002,Product 2,Maintenance,C,2025-02-24,294,27,33,288,215
ITEM-0002,Product 2,Maintenance,C,2025-02-25,271,17,27,261,215
ITEM-0002,Product 2,Maintenance,C,2025-02-26,319,7,28,298,215
ITEM-0002,Product 2,Maintenance,C,2025-02-27,249,23,2,270,215
ITEM-0002,Product 2,Maintenance,C,2025-02-28,256,4,46,214,215
ITEM-0002,Product 2,Maintenance,C,2025-03-01,251,27,32,246,215
ITEM-0002,Product 2,Maintenance,C,2025-03-02,192,2,33,161,215
ITEM-0002,Product 2,Maintenance,C,2025-03-03,280,13,23,270,215
ITEM-0002,Product 2,Maintenance,C,2025-03-04,216,10,45,181,215
ITEM-0002,Product 2,Maintenance,C,2025-03-05,328,19,3,344,215
ITEM-0002,Product 2,Maintenance,C,2025-03-06,349,13,20,342,215
ITEM-0002,Product 2,Maintenance,C,2025-03-07,239,17,47,209,215
ITEM-0002,Product 2,Maintenance,C,2025-03-08,191,6,9,188,215
ITEM-0002,Product 2,Maintenance,C,2025-03-09,345,20,22,343,215
ITEM-0002,Product 2,Maintenance,C,2025-03-10,331,28,47,312,215
ITEM-0002,Product 2,Maintenance,C,2025-03-11,331,28,35,324,215
ITEM-0002,Product 2,Maintenance,C,2025-03-12,266,0,1,265,215
ITEM-0002,Product 2,Maintenance,C,2025-03-13,231,19,4,246,215
ITEM-0002,Product 2,Maintenance,C,2025-03-14,195,1,41,155,215
ITEM-0002,Product 2,Maintenance,C,2025-03-15,303,19,11,311,215
ITEM-0002,Product 2,Maintenance,C,2025-03-16,189,5,36,158,215
ITEM-0002,Product 2,Maintenance,C,2025-03-17,321,20,33,308,215
ITEM-0002,Product 2,Maintenance,C,2025-03-18,356,19,34,341,215
ITEM-0002,Product 2,Maintenance,C,2025-03-19,270,23,43,250,215
ITEM-0002,Product 2,Maintenance,C,2025-03-20,265,29,9,285,215
ITEM-0002,Product 2,Maintenance,C,2025-03-21,304,22,45,281,215
ITEM-0002,Product 2,Maintenance,C,2025-03-22,312,16,31,297,215
ITEM-0002,Product 2,Maintenance,C,2025-03-23,298,13,16,295,215
ITEM-0002,Product 2,Maintenance,C,2025-03-24,193,1,39,155,215
ITEM-0002,Product 2,Maintenance,C,2025-03-25,209,8,38,179,215
ITEM-0002,Product 2,Maintenance,C,2025-03-26,206,13,42,177,215
ITEM-0002,Product 2,Maintenance,C,2025-03-27,188,25,25,188,215
ITEM-0002,Product 2,Maintenance,C,2025-03-28,213,1,44,170,215
ITEM-0002,Product 2,Maintenance,C,2025-03-29,221,5,10,216,215
ITEM-0002,Product 2,Maintenance,C,2025-03-30,330,9,20,319,215
ITEM-0002,Product 2,Maintenance,C,2025-03-31,284,5,40,249,215
ITEM-0002,Product 2,Maintenance,C,2025-04-01,218,4,16,206,215
ITEM-0002,Product 2,Maintenance,C,2025-04-02,337,25,37,325,215
ITEM-0002,Product 2,Maintenance,C,2025-04-03,260,20,22,258,215
ITEM-0002,Product 2,Maintenance,C,2025-04-04,290,20,21,289,215
ITEM-0002,Product 2,Maintenance,C,2025-04-05,211,5,30,186,215
ITEM-0002,Product 2,Maintenance,C,2025-04-06,352,11,33,330,215
ITEM-0002,Product 2,Maintenance,C,2025-04-07,237,9,6,240,215
ITEM-0002,Product 2,Maintenance,C,2025-04-08,357,25,16,366,215
ITEM-0002,Product 2,Maintenance,C,2025-04-09,306,1,45,262,215
ITEM-0002,Product 2,Maintenance,C,2025-04-10,238,0,42,196,215
ITEM-0002,Product 2,Maintenance,C,2025-04-11,235,18,35,218,215
ITEM-0002,Product 2,Maintenance,C,2025-04-12,210,20,28,202,215
ITEM-0002,Product 2,Maintenance,C,2025-04-13,195,10,39,166,215
ITEM-0002,Product 2,Maintenance,C,2025-04-14,348,26,48,326,215
ITEM-0002,Product 2,Maintenance,C,2025-04-15,223,2,39,186,215
ITEM-0002,Product 2,Maintenance,C,2025-04-16,238,22,33,227,215
ITEM-0002,Product 2,Maintenance,C,2025-04-17,295,21,23,293,215
ITEM-0002,Product 2,Maintenance,C,2025-04-18,334,23,4,353,215
ITEM-0002,Product 2,Maintenance,C,2025-04-19,217,14,35,196,215
ITEM-0002,Product 2,Maintenance,C,2025-04-20,332,2,18,316,215
ITEM-0002,Product 2,Maintenance,C,2025-04-21,265,10,44,231,215
ITEM-0002,Product 2,Maintenance,C,2025-04-22,338,20,1,357,215
ITEM-0002,Product 2,Maintenance,C,2025-04-23,257,7,8,256,215
ITEM-0002,Product 2,Maintenance,C,2025-04-24,201,24,0,225,215
ITEM-0002,Product 2,Maintenance,C,2025-04-25,245,7,42,210,215
ITEM-0002,Product 2,Maintenance,C,2025-04-26,226,6,24,208,215
ITEM-0002,Product 2,Maintenance,C,2025-04-27,219,17,2,234,215
ITEM-0002,Product 2,Maintenance,C,2025-04-28,292,18,43,267,215
ITEM-0002,Product 2,Maintenance,C,2025-04-29,286,11,33,264,215
ITEM-0002,Product 2,Maintenance,C,2025-04-30,203,11,36,178,215
ITEM-0003,Product 3,Packaging,C,2025-02-01,259,9,16,252,241
ITEM-0003,Product 3,Packaging,C,2025-02-02,267,14,48,233,241
ITEM-0003,Product 3,Packaging,C,2025-02-03,222,23,15,230,241
ITEM-0003,Product 3,Packaging,C,2025-02-04,293,20,7,306,241
ITEM-0003,Product 3,Packaging,C,2025-02-05,291,4,22,273,241
ITEM-0003,Product 3,Packaging,C,2025-02-06,328,5,15,318,241
ITEM-0003,Product 3,Packaging,C,2025-02-07,235,24,17,242,241
ITEM-0003,Product 3,Packaging,C,2025-02-08,222,26,14,234,241
ITEM-0003,Product 3,Packaging,C,2025-02-09,364,12,40,336,241
ITEM-0003,Product 3,Packaging,C,2025-02-10,236,9,46,199,241
ITEM-0003,Product 3,Packaging,C,2025-02-11,226,16,6,236,241
ITEM-0003,Product 3,Packaging,C,2025-02-12,361,20,25,356,241
ITEM-0003,Product 3,Packaging,C,2025-02-13,296,13,6,303,241
ITEM-0003,Product 3,Packaging,C,2025-02-14,289,8,6,291,241
ITEM-0003,Product 3,Packaging,C,2025-02-15,325,7,47,285,241
ITEM-0003,Product 3,Packaging,C,2025-02-16,269,28,22,275,241
ITEM-0003,Product 3,Packaging,C,2025-02-17,292,29,30,291,241
ITEM-0003,Product 3,Packaging,C,2025-02-18,326,2,38,290,241
ITEM-0003,Product 3,Packaging,C,2025-02-19,356,6,41,321,241
ITEM-0003,Product 3,Packaging,C,2025-02-20,227,23,13,237,241
ITEM-0003,Product 3,Packaging,C,2025-02-21,318,1,44,275,241
ITEM-0003,Product 3,Packaging,C,2025-02-22,341,10,36,315,241
ITEM-0003,Product 3,Packaging,C,2025-02-23,378,22,25,375,241
ITEM-0003,Product 3,Packaging,C,2025-02-24,318,14,38,294,241
ITEM-0003,Product 3,Packaging,C,2025-02-25,330,3,48,285,241
ITEM-0003,Product 3,Packaging,C,2025-02-26,303,24,21,306,241
ITEM-0003,Product 3,Packaging,C,2025-02-27,351,0,17,334,241
ITEM-0003,Product 3,Packaging,C,2025-02-28,226,9,44,191,241
ITEM-0003,Product 3,Packaging,C,2025-03-01,318,22,1,339,241
ITEM-0003,Product 3,Packaging,C,2025-03-02,380,29,33,376,241
ITEM-0003,Product 3,Packaging,C,2025-03-03,223,17,12,228,241
ITEM-0003,Product 3,Packaging,C,2025-03-04,370,2,31,341,241
ITEM-0003,Product 3,Packaging,C,2025-03-05,333,13,38,308,241
ITEM-0003,Product 3,Packaging,C,2025-03-06,239,28,48,219,241
ITEM-0003,Product 3,Packaging,C,2025-03-07,272,24,43,253,241
ITEM-0003,Product 3,Packaging,C,2025-03-08,226,14,43,197,241
ITEM-0003,Product 3,Packaging,C,2025-03-09,331,29,9,351,241
ITEM-0003,Product 3,Packaging,C,2025-03-10,363,19,38,344,241
ITEM-0003,Product 3,Packaging,C,2025-03-11,343,29,0,372,241
ITEM-0003,Product 3,Packaging,C,2025-03-12,387,12,2,397,241
ITEM-0003,Product 3,Packaging,C,2025-03-13,352,17,29,340,241
ITEM-0003,Product 3,Packaging,C,2025-03-14,278,29,17,290,241
ITEM-0003,Product 3,Packaging,C,2025-03-15,247,15,24,238,241
ITEM-0003,Product 3,Packaging,C,2025-03-16,283,16,14,285,241
ITEM-0003,Product 3,Packaging,C,2025-03-17,331,3,23,311,241
ITEM-0003,Product 3,Packaging,C,2025-03-18,350,28,36,342,241
ITEM-0003,Product 3,Packaging,C,2025-03-19,381,6,5,382,241
ITEM-0003,Product 3,Packaging,C,2025-03-20,273,23,45,251,241
ITEM-0003,Product 3,Packaging,C,2025-03-21,221,1,12,210,241
ITEM-0003,Product 3,Packaging,C,2025-03-22,363,19,6,376,241
ITEM-0003,Product 3,Packaging,C,2025-03-23,214,19,7,226,241
ITEM-0003,Product 3,Packaging,C,2025-03-24,303,13,44,272,241
ITEM-0003,Product 3,Packaging,C,2025-03-25,284,1,42,243,241
ITEM-0003,Product 3,Packaging,C,2025-03-26,267,8,25,250,241
ITEM-0003,Product 3,Packaging,C,2025-03-27,213,4,5,212,241
ITEM-0003,Product 3,Packaging,C,2025-03-28,215,22,46,191,241
ITEM-0003,Product 3,Packaging,C,2025-03-29,387,2,8,381,241
ITEM-0003,Product 3,Packaging,C,2025-03-30,230,28,48,210,241
ITEM-0003,Product 3,Packaging,C,2025-03-31,333,2,41,294,241
ITEM-0003,Product 3,Packaging,C,2025-04-01,388,29,17,400,241
ITEM-0003,Product 3,Packaging,C,2025-04-02,355,2,23,334,241
ITEM-0003,Product 3,Packaging,C,2025-04-03,370,5,34,341,241
ITEM-0003,Product 3,Packaging,C,2025-04-04,223,24,46,201,241
ITEM-0003,Product 3,Packaging,C,2025-04-05,283,13,3,293,241
ITEM-0003,Product 3,Packaging,C,2025-04-06,311,10,33,288,241
ITEM-0003,Product 3,Packaging,C,2025-04-07,315,26,2,339,241
ITEM-0003,Product 3,Packaging,C,2025-04-08,239,2,8,233,241
ITEM-0003,Product 3,Packaging,C,2025-04-09,363,11,33,341,241
ITEM-0003,Product 3,Packaging,C,2025-04-10,380,14,8,386,241
ITEM-0003,Product 3,Packaging,C,2025-04-11,250,4,24,230,241
ITEM-0003,Product 3,Packaging,C,2025-04-12,349,23,33,339,241
ITEM-0003,Product 3,Packaging,C,2025-04-13,334,5,14,325,241
ITEM-0003,Product 3,Packaging,C,2025-04-14,282,15,4,293,241
ITEM-0003,Product 3,Packaging,C,2025-04-15,300,5,17,288,241
ITEM-0003,Product 3,Packaging,C,2025-04-16,247,12,47,212,241
ITEM-0003,Product 3,Packaging,C,2025-04-17,238,12,4,246,241
ITEM-0003,Product 3,Packaging,C,2025-04-18,291,7,49,249,241
ITEM-0003,Product 3,Packaging,C,2025-04-19,255,29,31,253,241
ITEM-0003,Product 3,Packaging,C,2025-04-20,303,23,2,324,241
ITEM-0003,Product 3,Packaging,C,2025-04-21,250,7,33,224,241
ITEM-0003,Product 3,Packaging,C,2025-04-22,301,12,12,301,241
ITEM-0003,Product 3,Packaging,C,2025-04-23,243,23,5,261,241
ITEM-0003,Product 3,Packaging,C,2025-04-24,357,7,15,349,241
ITEM-0003,Product 3,Packaging,C,2025-04-25,302,26,32,296,241
ITEM-0003,Product 3,Packaging,C,2025-04-26,269,8,47,230,241
ITEM-0003,Product 3,Packaging,C,2025-04-27,223,12,42,193,241
ITEM-0003,Product 3,Packaging,C,2025-04-28,299,3,41,261,241
ITEM-0003,Product 3,Packaging,C,2025-04-29,365,27,37,355,241
ITEM-0003,Product 3,Packaging,C,2025-04-30,217,10,4,223,241
ITEM-0004,Product 4,Maintenance,C,2025-02-01,289,22,30,281,275
ITEM-0004,Product 4,Maintenance,C,2025-02-02,414,10,9,415,275
ITEM-0004,Product 4,Maintenance,C,2025-02-03,402,17,38,381,275
ITEM-0004,Product 4,Maintenance,C,2025-02-04,344,13,1,356,275
ITEM-0004,Product 4,Maintenance,C,2025-02-05,321,11,28,304,275
ITEM-0004,Product 4,Maintenance,C,2025-02-06,283,12,1,294,275
ITEM-0004,Product 4,Maintenance,C,2025-02-07,290,16,26,280,275
ITEM-0004,Product 4,Maintenance,C,2025-02-08,261,1,39,223,275
ITEM-0004,Product 4,Maintenance,C,2025-02-09,332,2,44,290,275
ITEM-0004,Product 4,Maintenance,C,2025-02-10,314,29,18,325,275
ITEM-0004,Product 4,Maintenance,C,2025-02-11,318,1,40,279,275
ITEM-0004,Product 4,Maintenance,C,2025-02-12,307,27,27,307,275
ITEM-0004,Product 4,Maintenance,C,2025-02-13,323,4,29,298,275
ITEM-0004,Product 4,Maintenance,C,2025-02-14,266,19,3,282,275
ITEM-0004,Product 4,Maintenance,C,2025-02-15,340,17,35,322,275
ITEM-0004,Product 4,Maintenance,C,2025-02-16,312,16,26,302,275
ITEM-0004,Product 4,Maintenance,C,2025-02-17,256,16,21,251,275
ITEM-0004,Product 4,Maintenance,C,2025-02-18,382,21,0,403,275
ITEM-0004,Product 4,Maintenance,C,2025-02-19,364,17,17,364,275
ITEM-0004,Product 4,Maintenance,C,2025-02-20,258,28,46,240,275
ITEM-0004,Product 4,Maintenance,C,2025-02-21,408,19,34,393,275
ITEM-0004,Product 4,Maintenance,C,2025-02-22,369,6,11,364,275
ITEM-0004,Product 4,Maintenance,C,2025-02-23,273,0,10,263,275
ITEM-0004,Product 4,Maintenance,C,2025-02-24,378,14,46,346,275
ITEM-0004,Product 4,Maintenance,C,2025-02-25,404,25,10,419,275
ITEM-0004,Product 4,Maintenance,C,2025-02-26,270,13,33,250,275
ITEM-0004,Product 4,Maintenance,C,2025-02-27,273,16,3,286,275
ITEM-0004,Product 4,Maintenance,C,2025-02-28,343,8,12,339,275
ITEM-0004,Product 4,Maintenance,C,2025-03-01,283,22,14,291,275
ITEM-0004,Product 4,Maintenance,C,2025-03-02,273,10,28,255,275
ITEM-0004,Product 4,Maintenance,C,2025-03-03,360,1,31,330,275
ITEM-0004,Product 4,Maintenance,C,2025-03-04,419,19,13,425,275
ITEM-0004,Product 4,Maintenance,C,2025-03-05,266,26,10,282,275
ITEM-0004,Product 4,Maintenance,C,2025-03-06,325,23,43,305,275
ITEM-0004,Product 4,Maintenance,C,2025-03-07,336,20,28,328,275
ITEM-0004,Product 4,Maintenance,C,2025-03-08,291,4,15,280,275
ITEM-0004,Product 4,Maintenance,C,2025-03-09,328,18,5,341,275
ITEM-0004,Product 4,Maintenance,C,2025-03-10,375,25,0,400,275
ITEM-0004,Product 4,Maintenance,C,2025-03-11,368,14,37,345,275
ITEM-0004,Product 4,Maintenance,C,2025-03-12,406,16,34,388,275
ITEM-0004,Product 4,Maintenance,C,2025-03-13,269,11,23,257,275
ITEM-0004,Product 4,Maintenance,C,2025-03-14,262,11,14,259,275
ITEM-0004,Product 4,Maintenance,C,2025-03-15,271,27,7,291,275
ITEM-0004,Product 4,Maintenance,C,2025-03-16,418,16,24,410,275
ITEM-0004,Product 4,Maintenance,C,2025-03-17,337,14,7,344,275
ITEM-0004,Product 4,Maintenance,C,2025-03-18,271,17,45,243,275
ITEM-0004,Product 4,Maintenance,C,2025-03-19,375,11,28,358,275
ITEM-0004,Product 4,Maintenance,C,2025-03-20,268,19,2,285,275
ITEM-0004,Product 4,Maintenance,C,2025-03-21,290,24,14,300,275
ITEM-0004,Product 4,Maintenance,C,2025-03-22,261,19,43,237,275
ITEM-0004,Product 4,Maintenance,C,2025-03-23,253,15,37,231,275
ITEM-0004,Product 4,Maintenance,C,2025-03-24,307,21,21,307,275
ITEM-0004,Product 4,Maintenance,C,2025-03-25,361,23,1,383,275
ITEM-0004,Product 4,Maintenance,C,2025-03-26,316,12,10,318,275
ITEM-0004,Product 4,Maintenance,C,2025-03-27,316,17,20,313,275
ITEM-0004,Product 4,Maintenance,C,2025-03-28,308,13,17,304,275
ITEM-0004,Product 4,Maintenance,C,2025-03-29,339,10,37,312,275
ITEM-0004,Product 4,Maintenance,C,2025-03-30,289,0,24,265,275
ITEM-0004,Product 4,Maintenance,C,2025-03-31,346,7,40,313,275
ITEM-0004,Product 4,Maintenance,C,2025-04-01,255,18,21,252,275
ITEM-0004,Product 4,Maintenance,C,2025-04-02,332,16,40,308,275
ITEM-0004,Product 4,Maintenance,C,2025-04-03,320,14,45,289,275
ITEM-0004,Product 4,Maintenance,C,2025-04-04,324,27,21,330,275
ITEM-0004,Product 4,Maintenance,C,2025-04-05,392,9,32,369,275
ITEM-0004,Product 4,Maintenance,C,2025-04-06,412,17,31,398,275
ITEM-0004,Product 4,Maintenance,C,2025-04-07,341,0,1,340,275
ITEM-0004,Product 4,Maintenance,C,2025-04-08,277,12,40,249,275
ITEM-0004,Product 4,Maintenance,C,2025-04-09,402,12,32,382,275
ITEM-0004,Product 4,Maintenance,C,2025-04-10,360,21,25,356,275
ITEM-0004,Product 4,Maintenance,C,2025-04-11,347,5,1,351,275
ITEM-0004,Product 4,Maintenance,C,2025-04-12,347,13,25,335,275
ITEM-0004,Product 4,Maintenance,C,2025-04-13,366,14,49,331,275
ITEM-0004,Product 4,Maintenance,C,2025-04-14,350,16,43,323,275
ITEM-0004,Product 4,Maintenance,C,2025-04-15,348,28,10,366,275
ITEM-0004,Product 4,Maintenance,C,2025-04-16,367,8,5,370,275
ITEM-0004,Product 4,Maintenance,C,2025-04-17,250,6,8,248,275
ITEM-0004,Product 4,Maintenance,C,2025-04-18,404,17,40,381,275
ITEM-0004,Product 4,Maintenance,C,2025-04-19,252,17,7,262,275
ITEM-0004,Product 4,Maintenance,C,2025-04-20,336,29,19,346,275
ITEM-0004,Product 4,Maintenance,C,2025-04-21,355,10,6,359,275
ITEM-0004,Product 4,Maintenance,C,2025-04-22,328,3,15,316,275
ITEM-0004,Product 4,Maintenance,C,2025-04-23,378,25,21,382,275
ITEM-0004,Product 4,Maintenance,C,2025-04-24,371,8,2,377,275
ITEM-0004,Product 4,Maintenance,C,2025-04-25,350,10,13,347,275
ITEM-0004,Product 4,Maintenance,C,2025-04-26,256,11,22,245,275
ITEM-0004,Product 4,Maintenance,C,2025-04-27,385,12,24,373,275
ITEM-0004,Product 4,Maintenance,C,2025-04-28,366,22,18,370,275
ITEM-0004,Product 4,Maintenance,C,2025-04-29,344,7,44,307,275
ITEM-0004,Product 4,Maintenance,C,2025-04-30,363,18,31,350,275
ITEM-0005,Product 5,Maintenance,C,2025-02-01,100,5,17,88,87
ITEM-0005,Product 5,Maintenance,C,2025-02-02,202,21,18,205,87
ITEM-0005,Product 5,Maintenance,C,2025-02-03,93,23,31,85,87
ITEM-0005,Product 5,Maintenance,C,2025-02-04,161,27,2,186,87
ITEM-0005,Product 5,Maintenance,C,2025-02-05,91,21,28,84,87
ITEM-0005,Product 5,Maintenance,C,2025-02-06,153,11,6,158,87
ITEM-0005,Product 5,Maintenance,C,2025-02-07,105,20,29,96,87
ITEM-0005,Product 5,Maintenance,C,2025-02-08,215,19,23,211,87
ITEM-0005,Product 5,Maintenance,C,2025-02-09,93,27,3,117,87
ITEM-0005,Product 5,Maintenance,C,2025-02-10,164,27,19,172,87
